#,Time,Title,_source_page,_wiki_api,biome_category,game,_matched_categories,final_category,Name,Played in,col2,Location,Mark,Artist,Year,_ext_links
,,Doki Doki Maid Cafe,BgmEventJP,,unclassified,MapleStory,,,,,,Oshi Discovery Project event,2026Mahjong,ASTERIA,2026,['https://www.youtube.com/watch?v=lcivl7sI6l0']
,,Fantastic Theme Park,BgmFT,,unclassified,MapleStory,,,,,,Fantasy Theme World,FantasticPark,ASTERIA,2017,['https://www.youtube.com/watch?v=qdL4zkXajPU']
,,Amoria,BgmGL,,unclassified,MapleStory,,,,,,Amoria,Wedding,StudioEIM,2006,['https://www.youtube.com/watch?v=hCdooZxzISo']
,,Amorian Challenge,BgmGL,,unclassified,MapleStory,,,,,,Amorian Challenge,Wedding,StudioEIM,2007,['https://www.youtube.com/watch?v=fetvn2jzc9Q']
,,Bigfoot,BgmGL,,unclassified,MapleStory,,,,,,Crimsonwood: Bigfoot boss theme,Crimsonwood,StudioEIM,2008,['https://www.youtube.com/watch?v=X0pUdlLwIhA']
,,Cathedral,BgmGL,,unclassified,MapleStory,,,,,,Amoria: Cathedral,Wedding,StudioEIM,2006,['https://www.youtube.com/watch?v=uqBUXZdBvVU']
,,Chapel,BgmGL,,unclassified,MapleStory,,,,,,Amoria: Chapel,Wedding,StudioEIM,2006,['https://www.youtube.com/watch?v=NJ6UMbOgQjU']
,,Courtyard,BgmGL,,unclassified,MapleStory,,,,,,Crimsonwood Keep: Courtyard,Crimsonwood,StudioEIM,2009,['https://www.youtube.com/watch?v=h0_8MftVy90']
,,Crimsonwood Keep,BgmGL,,unclassified,MapleStory,,,,,,Crimsonwood Mountain (pre-2019),Crimsonwood,StudioEIM,2008,['https://www.youtube.com/watch?v=CZoYt7HHSik']
,,Crimsonwood Keep Interior,BgmGL,,unclassified,MapleStory,,,,,,Crimsonwood Keep,Crimsonwood,StudioEIM,2009,['https://www.youtube.com/watch?v=qbY2KUn3dmM']
,,Dark Maplemas Eve,BgmGL,,unclassified,MapleStory,,,,,,2024 Dark Maplemas event,DarkMaplemas,ASTERIA,2024,['https://www.youtube.com/watch?v=x3z9YMomTkc']
,,Familiar Adventure,BgmGL,,unclassified,MapleStory,,,,,,Mystic Frontier Champions,GL_FamiliarAdventure,ASTERIA,2026,['https://www.youtube.com/watch?v=Mifaocxk6I4']
,,Burning Santa,BgmGL,,unclassified,MapleStory,,,,,,2015 Sizzling Santa event,HappyVillage,StudioEIM,2015,['https://www.youtube.com/watch?v=W8uREXc8Tzk']
,,Burning Santa (Alterate Version),BgmGL,,unclassified,MapleStory,,,,,,2015 Sizzling Santa event,HappyVillage,StudioEIM,2015,['https://www.youtube.com/watch?v=i-wfyqyxWeM']
,,Go West: Maple Boys,BgmGL,,unclassified,MapleStory,,,,,,MapleStory GO WEST! Maple Boys theme,1006520,ASTERIA,2024,['https://www.youtube.com/watch?v=biwVhDM4B94']
,,Go West: Maple Boys -loop-,BgmGL,,unclassified,MapleStory,,,,,,MapleStory GO WEST! Maple Boys theme,1006520,ASTERIA,2024,['https://www.youtube.com/watch?v=tgc8zjJ-KJU']
,,Go West: Maple Punk,BgmGL,,unclassified,MapleStory,,,,,,MapleStory GO WEST! Maple Punk theme,1006522,ASTERIA,2024,['https://www.youtube.com/watch?v=Oj9xvZi8IbY']
,,Grandmaster's Gauntlet,BgmGL,,unclassified,MapleStory,,,,,,Crimsonwood Party Quest: Grandmaster boss theme,Crimsonwood,StudioEIM,2009,['https://www.youtube.com/watch?v=rsASgHchliQ']
,,Haunted House,BgmGL,,unclassified,MapleStory,,,,,,Haunted House,Halloween,StudioEIM,2007,['https://www.youtube.com/watch?v=nbGQyrGizRQ']
,,Madhouse,BgmGL,,unclassified,MapleStory,,,,,,2015 Halloween: Madhouse,MadHouse,StudioEIM,2015,['https://www.youtube.com/watch?v=lRC_rHuks08']
,,Madhouse Ending,BgmGL,,unclassified,MapleStory,,,,,,2015 Halloween: Madhouse ending,MadHouse,StudioEIM,2015,['https://www.youtube.com/watch?v=61JeULEXhZg']
,,War for the Castle,BgmGL,,unclassified,MapleStory,,,,,,Masteria Through Time: Act 3 Naricain's Assault,GLblockbuster,ASTERIA,2016,['https://www.youtube.com/watch?v=kMp88mh3uB0']
,,An Eternal Breath -instrumental-,BgmGL,,unclassified,MapleStory,,,,,,Masteria Through Time theme,GLblockbuster,ASTERIA,2016,['https://www.youtube.com/watch?v=sLoeKIxeHIM']
,,An Eternal Breath,BgmGL,,unclassified,MapleStory,,,,,,Masteria Through Time: Act 4 ending,GLblockbuster,ASTERIA,2016,['https://www.youtube.com/watch?v=a5inRrauUZA']
,,New Leaf City - Field,BgmGL,,unclassified,MapleStory,forest_jungle|city_machine,,,,,2022 New Leaf City: Krakian Jungle,NLC,StudioEIM,2012,['https://www.youtube.com/watch?v=yYfxATnVF1Q']
,,New Leaf City - Hunt,BgmGL,,unclassified,MapleStory,forest_jungle|city_machine,,,,,New Leaf City: Krakian Jungle,NLC,StudioEIM,2007,['https://www.youtube.com/watch?v=UB_Dn0LCYLE']
,,O Holy Fright,BgmGL,,unclassified,MapleStory,,,,,,2024 Dark Maplemas event,DarkMaplemas,ASTERIA,2024,['https://www.youtube.com/watch?v=dFyYUc9VSgg']
,,Crimsonwood Party Quest,BgmGL,,unclassified,MapleStory,,,,,,Crimsonwood Keep Party Quest,Crimsonwood,StudioEIM,2009,['https://www.youtube.com/watch?v=xfq61ugRGBo']
,,Slay Ride,BgmGL,,unclassified,MapleStory,,,,,,2024 Dark Maplemas event,DarkMaplemas,ASTERIA,2024,['https://www.youtube.com/watch?v=dTtTTpd7JvI']
,,The New Leaf Mall,BgmGL,,unclassified,MapleStory,,,,,,New Leaf Mall event,mapleAgit,ASTERIA,2026,['https://www.youtube.com/watch?v=mn9jFDR6KmM']
,,The Whole New Leaf Mall,BgmGL,,unclassified,MapleStory,,,,,,New Leaf Mall event,mapleAgit,ASTERIA,2026,['https://www.youtube.com/watch?v=VO_CNlOYohU']
,,Mr. Lee World Tour: China,BgmGL2D,,unclassified,MapleStory,,,,,,Mr. Lee World Tour: China,worldTour,StudioEIM,2014,['https://www.youtube.com/watch?v=ATYgxfxPTgI']
,,Mr. Lee World Tour: Europe,BgmGL2D,,unclassified,MapleStory,,,,,,Mr. Lee World Tour: Europe,worldTour,StudioEIM,2014,['https://www.youtube.com/watch?v=_B6q_BimGsA']
,,Mr. Lee World Tour: Japan,BgmGL2D,,unclassified,MapleStory,,,,,,Mr. Lee World Tour: Japan,worldTour,StudioEIM,2014,['https://www.youtube.com/watch?v=MFVwKUHbz-o']
,,Mr. Lee World Tour: Malaysia,BgmGL2D,,unclassified,MapleStory,,,,,,Mr. Lee World Tour: Malaysia,worldTour,StudioEIM,2014,['https://www.youtube.com/watch?v=_IqL4rg2MmM']
,,Mr. Lee Island,BgmGL2D,,unclassified,MapleStory,,,,,,Mr. Lee World Tour: Island 7,worldTour,StudioEIM,2014,['https://www.youtube.com/watch?v=UrJrZKgTiYY']
,,Mr. Lee World Tour: Singapore,BgmGL2D,,unclassified,MapleStory,,,,,,Mr. Lee World Tour: Singapore,worldTour,StudioEIM,2014,['https://www.youtube.com/watch?v=tK8yb2SYl3o']
,,Mr. Lee World Tour: Taiwan,BgmGL2D,,unclassified,MapleStory,,,,,,Mr. Lee World Tour: Taiwan,worldTour,StudioEIM,2014,['https://www.youtube.com/watch?v=hrZNYd5uYyI']
,,Mr. Lee World Tour: Thailand,BgmGL2D,,unclassified,MapleStory,,,,,,Mr. Lee World Tour: Thailand,worldTour,StudioEIM,2014,['https://www.youtube.com/watch?v=ozpBZVrtEJI']
,,Bathroom,BgmJp,,unclassified,MapleStory,,,,,,Zipangu: Showa Sauna,JP_shouwa,StudioEIM,2005,['https://www.youtube.com/watch?v=yRrCGa54Vbo']
,,Battlefield,BgmJp,,unclassified,MapleStory,,,,,,Zipangu: Showa Hideout,JP_shouwa,StudioEIM,2005,['https://www.youtube.com/watch?v=ZDS4Dd7ULvM']
,,Castle Boss,BgmJp,,unclassified,MapleStory,,,,,,Zipangu: Ninja Castle boss theme,jipangu,StudioEIM,2007,['https://www.youtube.com/watch?v=_mSoAfONu6U']
,,Castle Inside,BgmJp,,unclassified,MapleStory,,,,,,Zipangu: Ninja Castle indoors,jipangu,StudioEIM,2007,['https://www.youtube.com/watch?v=8bvx6bZ8WnA']
,,Castle Outside,BgmJp,,unclassified,MapleStory,,,,,,Zipangu: Ninja Castle outdoors,jipangu,StudioEIM,2007,['https://www.youtube.com/watch?v=6yJ3_i6emNw']
,,Castle Trap,BgmJp,,unclassified,MapleStory,,,,,,Zipangu: Ninja Castle trap room,jipangu,StudioEIM,2007,['https://www.youtube.com/watch?v=c310tdhrwtk']
,,Feeling,BgmJp,,unclassified,MapleStory,,,,,,Zipangu: Mushroom Shrine,jipangu,StudioEIM,2004,['https://www.youtube.com/watch?v=SdcsTuVLJk0']
,,Kabuki,BgmJp,,unclassified,MapleStory,,,,,,Tokyo: Kabukicho,JP_Kabukicho,StudioEIM,2014,['https://www.youtube.com/watch?v=K4Lg7Ny5kX0']
,,Goddess Mark,BgmJp,,unclassified,MapleStory,,,,,,Reina Kondo - Goddess Mark (Ignition theme),TestServer,Reina Kondo,2022,['https://www.youtube.com/watch?v=iQbq7o-kyBY']
,,Hana,BgmJp,,unclassified,MapleStory,,,,,,"Similar to Yume, but unused",JP_shouwa,StudioEIM,2004,['https://www.youtube.com/watch?v=1nj0TXt_23c']
,,Morning Shot,BgmJp,,unclassified,MapleStory,,,,,,2007 Funky Monkey Babys collaboration,Event,StudioEIM,2007,['https://www.youtube.com/watch?v=He-cxSXHS8A']
,,Akihabara,BgmJp2,,unclassified,MapleStory,sea_underwater|city_machine,,,,,"Neo City: Midnight Harbor, Neo Tokyo: Odaiba",Tokyo,StudioEIM,2008,['https://www.youtube.com/watch?v=47hrhA3OqkU']
,,Kamuna,BgmJp2,,unclassified,MapleStory,forest_jungle|city_machine,,,,,"Neo City: Tera Forest, Neo Tokyo: Kamuna",TokyoK,StudioEIM,2008,['https://www.youtube.com/watch?v=BB1l4zunOVU']
,,Rockbongi 1,BgmJp2,,unclassified,MapleStory,,,,,,Neo Tokyo: 2102 Shibuya / Roppongi Mall,Tokyo,StudioEIM,2009,['https://www.youtube.com/watch?v=CFUHMREh1NU']
,,Rockbongi 2,BgmJp2,,unclassified,MapleStory,,,,,,Neo Tokyo: 2102 Shibuya / Roppongi Mall boss theme,Tokyo,StudioEIM,2009,['https://www.youtube.com/watch?v=ygZRlNsI0u8']
,,Assumptio,BgmJp3,,unclassified,MapleStory,,,,,,Silent Crusade storyline,CrossHunter,StudioEIM,2015,['https://www.youtube.com/watch?v=fO9MLqOwXWg']
,,Corruptio Sanguinis,BgmJp3,,unclassified,MapleStory,,,,,,Silent Crusade storyline,CrossHunter,StudioEIM,2015,['https://www.youtube.com/watch?v=2G_KCtvWTRk']
,,Darkness Soul,BgmJp3,,unclassified,MapleStory,,,,,,Silent Crusade storyline,CrossHunter,StudioEIM,2015,['https://www.youtube.com/watch?v=xAAo_xCTqb4']
,,Hieijan,BgmJp3,,unclassified,MapleStory,,,,,,Zipangu: Hieizan Temple,JP_Hieijan,StudioEIM,2014,['https://www.youtube.com/watch?v=4c48SktoA6U']
,,Hieijan No Hime,BgmJp3,,unclassified,MapleStory,,,,,,"Zipangu: Hieizan Temple, Princess No boss theme",JP_Nohime,StudioEIM,2014,['https://www.youtube.com/watch?v=vDwB1oxSJyE']
,,Kinoko No Uta,BgmJp3,,unclassified,MapleStory,,,,,,2021 Hokto collaboration chair effect,3018753,Kinoko Allstars,2021,['https://www.youtube.com/watch?v=NQ5wY1RpTm4']
,,Inside Honnouji,BgmJp3,,unclassified,MapleStory,,,,,,"Zipangu: Honnou-ji, Ranmaru boss theme",Honnouji,StudioEIM,2012,['https://www.youtube.com/watch?v=WK-aE_3PF8g']
,,Kecon,BgmJp3,,unclassified,MapleStory,,,,,,"Japanese wedding, Zipangu: Momijigaoka",Wedding,StudioEIM,2010,['https://www.youtube.com/watch?v=3fVO9GWfILs']
,,Lex Divina,BgmJp3,,unclassified,MapleStory,,,,,,Silent Crusade storyline,CrossHunter,StudioEIM,2015,['https://www.youtube.com/watch?v=AY1m7dQ-P6I']
,,Magnus Sigillo,BgmJp3,,unclassified,MapleStory,,,,,,Silent Crusade storyline,CrossHunter,StudioEIM,2015,['https://www.youtube.com/watch?v=YvBFEWfokjM']
,,Momijigaoka,BgmJp3,,unclassified,MapleStory,,,,,,Zipangu: Momijigaoka,JP_Momijigaoka,StudioEIM,2012,['https://www.youtube.com/watch?v=ydtzNwT0Tys']
,,Momiji No Sakamichi,BgmJp3,,unclassified,MapleStory,,,,,,Zipangu: Momiji Hills,JP_Momijigaoka,StudioEIM,2012,['https://www.youtube.com/watch?v=Vwn3_L3hyqY']
,,Sengoku Boss,BgmJp3,,unclassified,MapleStory,,,,,,"Takigawa Kazumasu boss theme, Sengoku quest",Honnouji,StudioEIM,2012,['https://www.youtube.com/watch?v=OKufViI86Tk']
,,Signum Crucis,BgmJp3,,unclassified,MapleStory,,,,,,Silent Crusade storyline,CrossHunter,StudioEIM,2015,['https://www.youtube.com/watch?v=6xKvhbvoyMQ']
,,The Cross Brigade,BgmJp3,,unclassified,MapleStory,,,,,,Silent Crusade storyline,CrossHunter,StudioEIM,2015,['https://www.youtube.com/watch?v=9v6d8N3N9HY']
,,Legend of Zipang,BgmJp4_Zipang,,unclassified,MapleStory,,,,,,Mushroom Shrine Tales theme,jipangu,ASTERIA,2016,['https://www.youtube.com/watch?v=48u6RCI9hSg']
,,Legend of Zipang ~reprise~,BgmJp4_Zipang,,unclassified,MapleStory,,,,,,Mushroom Shrine Tales - Act 5 ending,jipangu,ASTERIA,2016,['https://www.youtube.com/watch?v=F1DvK7E0kUE']
,,Legend of Zipang ~sad~,BgmJp4_Zipang,,unclassified,MapleStory,,,,,,Mushroom Shrine Tales - Act 2 & 5 sad theme,jipangu,ASTERIA,2016,['https://www.youtube.com/watch?v=Kz8VmXpyPLU']
,,Legend of Zipang ~silence~,BgmJp4_Zipang,,unclassified,MapleStory,,,,,,Zipangu: Mushroom Shrine (2016 revamp),jipangu,ASTERIA,2016,['https://www.youtube.com/watch?v=nAjsQ902it0']
,,Living Again,BgmJp4_Zipang,,unclassified,MapleStory,,,,,,Mushroom Shrine Tales ending credits,jipangu,ASTERIA,2016,['https://www.youtube.com/watch?v=kNGnsV_4mxE']
,,Living Again ~reprise~,BgmJp4_Zipang,,unclassified,MapleStory,,,,,,Mushroom Shrine Tales ending credits,jipangu,ASTERIA,2016,['https://www.youtube.com/watch?v=9zQXcyMz9Q4']
,,Tengou's Trial,BgmJp4_Zipang,,unclassified,MapleStory,,,,,,Mushroom Shrine Tales - Tengu boss theme,jipangu,ASTERIA,2016,['https://www.youtube.com/watch?v=-PFT0rDJpNk']
,,Yokai Boso,BgmJp4_Zipang,,unclassified,MapleStory,,,,,,Mushroom Shrine Tales battle theme,jipangu,ASTERIA,2016,['https://www.youtube.com/watch?v=7O5EA1KVZSo']
,,Zipang Hero,BgmJp4_Zipang,,unclassified,MapleStory,,,,,,Mushroom Shrine Tales Act 4,jipangu,ASTERIA,2016,['https://www.youtube.com/watch?v=OhzWkiTds2o']
,,Somewhere Beyond the Cliff,BgmLYNN,,unclassified,MapleStory,forest_jungle|sea_underwater,,,,,Forest of Eternity: Sea Cliff,ForestofEternity,ASTERIA,2024,['https://www.youtube.com/watch?v=oebLavw3F4M']
,,Ren - Login Theme,BgmLogin,,unclassified,MapleStory,,,,,,Ren login theme,TestServer,ASTERIA,2025,['https://www.youtube.com/watch?v=wrMtaordn88']
,,Unleashed Energy,BgmMH,,unclassified,MapleStory,,,,,,Mo Xuan's Unleashed Energy skill,Hajin,ASTERIA,2021,['https://www.youtube.com/watch?v=EQaK1VqKktE']
,,Fate,BgmMH,,unclassified,MapleStory,,,,,,Mo Xuan storyline,Hajin,ASTERIA,2021,['https://www.youtube.com/watch?v=z-ZtDeDsCpA']
,,God of War,BgmMH,,unclassified,MapleStory,,,,,,Mo Xuan storyline,Hajin,ASTERIA,2021,['https://www.youtube.com/watch?v=DbaFuwqTO1s']
,,Hejin,BgmMH,,unclassified,MapleStory,,,,,,Jianghu: Hejin,Hajin,ASTERIA,2021,['https://www.youtube.com/watch?v=DuO0_fZkHCI']
,,Xuan Mountain,BgmMH,,unclassified,MapleStory,,,,,,Jianghu: Xuan Mountain,Hajin,ASTERIA,2021,['https://www.youtube.com/watch?v=5cbxigyRMaY']
,,Xuan Mountain School,BgmMH,,unclassified,MapleStory,,,,,,Jianghu: Xuan Mountain School,Hajin,ASTERIA,2021,['https://www.youtube.com/watch?v=6ugjjd7HaD4']
,,Indomitable,BgmMH,,unclassified,MapleStory,,,,,,Mo Xuan storyline,Hajin,ASTERIA,2021,['https://www.youtube.com/watch?v=TA3zWgdk-qk']
,,Threat,BgmMH,,unclassified,MapleStory,,,,,,Jianghu: Valley of Flames,Hajin,ASTERIA,2021,['https://www.youtube.com/watch?v=hS-QrEDtxuM']
,,DAYBREAK,BgmMIKU,,unclassified,MapleStory,,,,,,2014 Hatsune Miku collaboration,1004287,Mafumafu feat. Hatsune Miku,2012,['https://www.youtube.com/watch?v=jwCWnyuAJFY']
,,Monokuro to Yuusha no Idenshi,BgmMIKU,,unclassified,MapleStory,,,,,,2014 Hatsune Miku collaboration,1004287,Mafumafu feat. Hatsune Miku,2014,['https://www.youtube.com/watch?v=JF1Nn5fWMLs']
,,Next Nest,BgmMIKU,,unclassified,MapleStory,,,,,,2014 Hatsune Miku collaboration,1004287,Satsuki ga Tenkomori feat. Hatsune Miku,2014,['https://www.youtube.com/watch?v=STGuvHe5NGs']
,,Online Game Addicts Sprechchor,BgmMIKU,,unclassified,MapleStory,,,,,,2014 Hatsune Miku collaboration,1004287,Satsuki ga Tenkomori feat. Hatsune Miku,2010,['https://www.youtube.com/watch?v=HxquE6d_a3k']
,,Highland,BgmMY,,unclassified,MapleStory,,,,,,Malaysia: Fantasy Theme Park,Kampung,StudioEIM,2008,['https://www.youtube.com/watch?v=gNafzBfyoTo']
,,A Stalker for Adversary,BgmMultiTrack,,unclassified,MapleStory,,,,,,Baldrix - Phase 1B,baldrix,ASTERIA,2025,['https://www.youtube.com/watch?v=myaoChF2E98']
,,Bellona - Phase 1 (Insane),BgmMultiTrack,,unclassified,MapleStory,,,,,,Bellona - Phase 1 (Insane),TeneaTemple,ASTERIA,2026,['https://www.youtube.com/watch?v=hNI6_GulaRc']
,,Bellona - Phase 1 (Normal),BgmMultiTrack,,unclassified,MapleStory,,,,,,Bellona - Phase 1 (Normal),TeneaTemple,ASTERIA,2026,['https://www.youtube.com/watch?v=6uPpWYX7Ljs']
,,Bellona - Phase 2 (Insane),BgmMultiTrack,,unclassified,MapleStory,,,,,,Bellona - Phase 2 (Insane),TeneaTemple,ASTERIA,2026,['https://www.youtube.com/watch?v=9DaFZxH6FB0']
,,Bellona - Phase 2 (Normal),BgmMultiTrack,,unclassified,MapleStory,,,,,,Bellona - Phase 2 (Normal),TeneaTemple,ASTERIA,2026,['https://www.youtube.com/watch?v=634bNZDe1o4']
,,Echoes of Ancient Deity,BgmMultiTrack,,unclassified,MapleStory,,,,,,Baldrix - Phase 1C,baldrix,ASTERIA,2025,['https://www.youtube.com/watch?v=dJI4v7IpLEQ']
,,Fury of the Watcher,BgmMultiTrack,,unclassified,MapleStory,,,,,,Watcher Kalos - Phase 2,karotte,ASTERIA,2022,['https://www.youtube.com/watch?v=fwLnfRHqicI']
,,Guardian Slime - Battle,BgmMultiTrack,,unclassified,MapleStory,,,,,,Guardian Angel Slime,Ramuramu,ASTERIA,2021,['https://www.youtube.com/watch?v=mBlj8bvXZO0']
,,Guardian Slime - Wave,BgmMultiTrack,,unclassified,MapleStory,,,,,,Guardian Angel Slime - Wave Phase,Ramuramu,ASTERIA,2021,['https://www.youtube.com/watch?v=Kv80AdkRshs']
,,Reproduced Abyss A,BgmMultiTrack,,unclassified,MapleStory,sea_underwater|hell,,,,,Limbo - Phase 1,limbo,ASTERIA,2024,['https://www.youtube.com/watch?v=g4gxLP3HX3s']
,,Reproduced Abyss B,BgmMultiTrack,,unclassified,MapleStory,sea_underwater|hell,,,,,Limbo - Phase 1,limbo,ASTERIA,2024,['https://www.youtube.com/watch?v=iJPu7UNFF5E']
,,Solar Deity - Dawn of Hope,BgmMultiTrack,,unclassified,MapleStory,,,,,,Seren - Phase 2: Dawn of Hope,Cernium,Initium SoundLab,2021,['https://www.youtube.com/watch?v=DV3VKsqN_a0']
,,Solar Deity - Midnight of Silence,BgmMultiTrack,,unclassified,MapleStory,,,,,,Seren - Phase 2: Midnight of Silence,Cernium,Initium SoundLab,2021,['https://www.youtube.com/watch?v=vRBtXd_31fE']
,,Solar Deity - Noon of Justice,BgmMultiTrack,,unclassified,MapleStory,,,,,,Seren - Phase 2: Noon of Justice,Cernium,Initium SoundLab,2021,['https://www.youtube.com/watch?v=_ZJJc1cFFto']
,,Solar Deity - Twilight of Flame,BgmMultiTrack,,unclassified,MapleStory,,,,,,Seren - Phase 2: Twilight of Flame,Cernium,Initium SoundLab,2021,['https://www.youtube.com/watch?v=u3fisrTnOHI']
,,The Abyss of Truth A,BgmMultiTrack,,unclassified,MapleStory,sea_underwater|hell,,,,,Limbo - Phase 3,limbo,ASTERIA,2024,['https://www.youtube.com/watch?v=8okkwvVBEpE']
,,The Abyss of Truth B,BgmMultiTrack,,unclassified,MapleStory,sea_underwater|hell,,,,,Limbo - Phase 3,limbo,ASTERIA,2024,['https://www.youtube.com/watch?v=bO7bBh4-tvs']
,,The Arena of Discipline and Command,BgmMultiTrack,,unclassified,MapleStory,,,,,,Jupiter - Human Form,Luppiter,ASTERIA,2026,['https://www.youtube.com/watch?v=8Sdo3JPpyrE']
,,The Arena of Discipline and Command -Union-,BgmMultiTrack,,unclassified,MapleStory,,,,,,Jupiter - Combination Form (Human Dominant),Luppiter,ASTERIA,2026,['https://www.youtube.com/watch?v=uC66QQmtUt8']
,,The Arena of Irregularity and Chaos,BgmMultiTrack,,unclassified,MapleStory,,,,,,Jupiter - Entity Form,Luppiter,ASTERIA,2026,['https://www.youtube.com/watch?v=dBIs93mbgDo']
,,The Arena of Irregularity and Chaos -Union-,BgmMultiTrack,,unclassified,MapleStory,,,,,,Jupiter - Combination Form (Entity Dominant),Luppiter,ASTERIA,2026,['https://www.youtube.com/watch?v=V5dS8ZoDrsc']
,,The Knight Commander,BgmMultiTrack,,unclassified,MapleStory,,,,,,Baldrix - Phase 1A,baldrix,ASTERIA,2025,['https://www.youtube.com/watch?v=rdevOYJ0jYA']
,,Worn Out Fury,BgmMultiTrack,,unclassified,MapleStory,,,,,,Watcher Kalos - Phase 2,karotte,ASTERIA,2022,['https://www.youtube.com/watch?v=L-jmUldd5j4']
,,Dice Master,BgmPL,,unclassified,MapleStory,,,,,,Dice Master event,PL_DiceMaster,ASTERIA,2017,['https://www.youtube.com/watch?v=wSwXwkgS4bU']
,,Off the Beaten Path -upbeat-,BgmPL,,unclassified,MapleStory,,,,,,Eluna: Elemental's Domain,PL_Eluna,ASTERIA,2017,['https://www.youtube.com/watch?v=mEY8_SP-5LU']
,,Eluna Express,BgmPL,,unclassified,MapleStory,,,,,,Eluna Express,PL_Eluna,ASTERIA,2017,['https://www.youtube.com/watch?v=es37G5AfE-I']
,,Adventure Party Quest,BgmPL,,unclassified,MapleStory,,,,,,Ancient Ruins Party Quest,GL_AdvPQ,ASTERIA,2019,['https://www.youtube.com/watch?v=uLKwfP50iwE']
,,God of Brain,BgmPL,,unclassified,MapleStory,,,,,,Divine Intelligence event,PL_GodOfBrain,ASTERIA,2017,['https://www.youtube.com/watch?v=8i-FBUlGSdA']
,,Western Gunman,BgmPL,,unclassified,MapleStory,,,,,,High Noon Gunslinger,PL_Gunman,ASTERIA,2018,['https://www.youtube.com/watch?v=0F8ZQ1NqDSk']
,,Hidden Catch,BgmPL,,unclassified,MapleStory,,,,,,Spot the Difference event,BZ_HiddenCatch,ASTERIA,2019,['https://www.youtube.com/watch?v=D2XRv39wAFo']
,,Greetings of the Death Angel,BgmPL,,unclassified,MapleStory,,,,,,Secret Stories - Chapter 1,ArbrenBT,ASTERIA,2016,['https://www.youtube.com/watch?v=fWQyB979IF0']
,,The Shadow of Chaos,BgmPL,,unclassified,MapleStory,,,,,,Secret Stories - Chapter 2 & 3,ArbrenBT,ASTERIA,2016,['https://www.youtube.com/watch?v=PYGOnSNO79o']
,,Can You Read My Thoughts?,BgmPL,,unclassified,MapleStory,,,,,,The Afterlands: Land of Contemplation (Day),PL_AfterLand,ASTERIA,2016,['https://www.youtube.com/watch?v=Dc0mE4k422w']
,,Can You Read My Thoughts? -night-,BgmPL,,unclassified,MapleStory,,,,,,The Afterlands: Land of Contemplation (Night),PL_AfterLand,ASTERIA,2016,['https://www.youtube.com/watch?v=xK099Yuc1ck']
,,The Dancing Weathercock,BgmPL,,unclassified,MapleStory,,,,,,The Afterlands: Land of Innocence (Day),PL_AfterLand,ASTERIA,2016,['https://www.youtube.com/watch?v=ROmgAQZh_LU']
,,The Dancing Weathercock -night-,BgmPL,,unclassified,MapleStory,,,,,,The Afterlands: Land of Innocence (Night),PL_AfterLand,ASTERIA,2016,['https://www.youtube.com/watch?v=mFeNoswVOLQ']
,,The Dancing Weathercock -night- (Alternate),BgmPL,,unclassified,MapleStory,,,,,,The Afterlands: Land of Innocence (Night),PL_AfterLand,ASTERIA,2016,['https://www.youtube.com/watch?v=pzvy-bBGLDM']
,,The World of Paradox,BgmPL,,unclassified,MapleStory,,,,,,The Afterlands: Land of Riches (Day),PL_AfterLand,ASTERIA,2016,['https://www.youtube.com/watch?v=wq7kiyL8yHw']
,,The World of Paradox -night-,BgmPL,,unclassified,MapleStory,,,,,,The Afterlands: Land of Riches (Night),PL_AfterLand,ASTERIA,2016,['https://www.youtube.com/watch?v=yY6ueC0qlCY']
,,The World of Paradox -night- (Alternate),BgmPL,,unclassified,MapleStory,,,,,,The Afterlands: Land of Riches (Night),PL_AfterLand,ASTERIA,2016,['https://www.youtube.com/watch?v=fpbzFDITpUs']
,,Bottoms Up!,BgmPL,,unclassified,MapleStory,,,,,,The Afterlands: Land of Warriors (Day),PL_AfterLand,ASTERIA,2016,['https://www.youtube.com/watch?v=FLiC1zt_U1s']
,,Bottoms Up! -night-,BgmPL,,unclassified,MapleStory,,,,,,The Afterlands: Land of Warriors (Night),PL_AfterLand,ASTERIA,2016,['https://www.youtube.com/watch?v=kVE2hSgJ3cQ']
,,Stellar Detectives,BgmPL,,unclassified,MapleStory,,,,,,Stellar Detectives theme,PL_MapleDetective,ASTERIA,2016,['https://www.youtube.com/watch?v=3SEaLivUIg4']
,,Stellar Detectives -instrumental-,BgmPL,,unclassified,MapleStory,,,,,,Stellar Detectives theme (instrumental),PL_MapleDetective,ASTERIA,2016,['https://www.youtube.com/watch?v=s9H92aOgW1U']
,,Watch Out!,BgmPL,,unclassified,MapleStory,,,,,,Retro World training area,PL_RetroWorld,ASTERIA,2018,['https://www.youtube.com/watch?v=VGznt8fdh6w']
,,Ordinary Day,BgmPL,,unclassified,MapleStory,,,,,,Retro World: Balina,PL_RetroWorld,ASTERIA,2018,['https://www.youtube.com/watch?v=7alGu8gUCgQ']
,,Song of Naty,BgmPL,,unclassified,MapleStory,,,,,,Eluna Exploration Area,PL_Eluna,ASTERIA,2017,['https://www.youtube.com/watch?v=R9e7FAmUGEI']
,,Weight of the Soul,BgmPL,,unclassified,MapleStory,,,,,,Eluna: Elunite Elemental boss theme,PL_Eluna,ASTERIA,2017,['https://www.youtube.com/watch?v=7_yYG8zkADQ']
