#,Area,Compatible biomes,Condition,"Damage<ref name=""plantai""/>",Description,Item,Links,Listen,Name,Projectile,Tile and location requirements,Title,_ext_links,_file_links,_source_page,_wiki_api,biome_category,game
,"[http://re-logic.bandcamp.com/track/rain Bandcamp], [https://www.youtube.com/watch?v=syc_nWb6S-s YouTube]",,,,,During Rain in the Forest,400px,,,,,,"['http://re-logic.bandcamp.com/track/rain', 'https://www.youtube.com/watch?v=syc_nWb6S-s']",['Music-Rain.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/ice Bandcamp], [https://www.youtube.com/watch?v=8ZpGNTmd2dw YouTube]",,,,,Snow biome,400px,,,,,,"['http://re-logic.bandcamp.com/track/ice', 'https://www.youtube.com/watch?v=8ZpGNTmd2dw']",['Music-Snow.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=x4RA4O3nnNg YouTube],,,,,Ice biome,400px,,,,,,['https://www.youtube.com/watch?v=x4RA4O3nnNg'],['Music-Ice_biome.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=QuybWdpabu8 YouTube],,,,,Desert,400px,,,,,,['https://www.youtube.com/watch?v=QuybWdpabu8'],['Music-Desert.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/ocean Bandcamp], [https://www.youtube.com/watch?v=M0OTqNRZNPI YouTube]",,,,,During Day in the Ocean,400px,,,,,,"['http://re-logic.bandcamp.com/track/ocean', 'https://www.youtube.com/watch?v=M0OTqNRZNPI']",['Music-Ocean Day.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=Yn64AUblcPg YouTube],,,,,During Night in the Ocean,400px,,,,,,['https://www.youtube.com/watch?v=Yn64AUblcPg'],['Music-Ocean_Night.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=MGCYHh_Rsvg YouTube],,,,,During Day in Space,400px,,,,,,['https://www.youtube.com/watch?v=MGCYHh_Rsvg'],['Music-Space Day.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/space Bandcamp], [https://www.youtube.com/watch?v=vdKdgAbluyo YouTube]",,,,,During Night in Space,400px,,,,,,"['http://re-logic.bandcamp.com/track/space', 'https://www.youtube.com/watch?v=vdKdgAbluyo']",['Music-Space Night.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/underground-2 Bandcamp], [https://www.youtube.com/watch?v=A36bXNKvuOw YouTube]",,,,,"Underground, Caverns<br/>(when Alt Underground is not playing)",400px,,,,,,"['http://re-logic.bandcamp.com/track/underground-2', 'https://www.youtube.com/watch?v=A36bXNKvuOw']",['Music-Underground.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[https://re-logic.bandcamp.com/track/alternate-underground Bandcamp], [https://www.youtube.com/watch?v=1Z4EjiT6cdk YouTube]",,,,,"Underground, Caverns<br/>(when Underground is not playing)",400px,,,,,,"['https://re-logic.bandcamp.com/track/alternate-underground', 'https://www.youtube.com/watch?v=1Z4EjiT6cdk']",['Music-Alternate Underground.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/mushrooms Bandcamp], [https://www.youtube.com/watch?v=mMAWyoVtwzs YouTube]",,,,,Glowing Mushroom biome,400px,,,,,,"['http://re-logic.bandcamp.com/track/mushrooms', 'https://www.youtube.com/watch?v=mMAWyoVtwzs']",['Music-Mushrooms.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/jungle Bandcamp], [https://www.youtube.com/watch?v=RXwNK1In2xE YouTube]",,,,,During Day in the Jungle,400px,,,,,,"['http://re-logic.bandcamp.com/track/jungle', 'https://www.youtube.com/watch?v=RXwNK1In2xE']",['Music-Jungle.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/corruption Bandcamp], [https://www.youtube.com/watch?v=eauhfu2uk38 YouTube]",,,,,The Corruption,400px,,,,,,"['http://re-logic.bandcamp.com/track/corruption', 'https://www.youtube.com/watch?v=eauhfu2uk38']",['Music-Corruption.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/underground-corruption Bandcamp], [https://www.youtube.com/watch?v=fiti2HI0Kk0 YouTube]",,,,,Underground Corruption,400px,,,,,,"['http://re-logic.bandcamp.com/track/underground-corruption', 'https://www.youtube.com/watch?v=fiti2HI0Kk0']",['Music-Underground Corruption.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/crimson Bandcamp], [https://www.youtube.com/watch?v=H15HLQCUR0E YouTube]",,,,,The Crimson,400px,,,,,,"['http://re-logic.bandcamp.com/track/crimson', 'https://www.youtube.com/watch?v=H15HLQCUR0E']",['Music-Crimson.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[https://re-logic.bandcamp.com/track/underground-crimson Bandcamp], [https://www.youtube.com/watch?v=3wr9hxI9CvQ YouTube]",,,,,Underground Crimson,400px,,,,,,"['https://re-logic.bandcamp.com/track/underground-crimson', 'https://www.youtube.com/watch?v=3wr9hxI9CvQ']",['Music-Underground Crimson.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/the-hallow Bandcamp], [https://www.youtube.com/watch?v=YJmERtEa5Rk YouTube]",,,,,During Day in The Hallow,400px,,,,,,"['http://re-logic.bandcamp.com/track/the-hallow', 'https://www.youtube.com/watch?v=YJmERtEa5Rk']",['Music-The Hallow.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/underground-hallow Bandcamp], [https://www.youtube.com/watch?v=jHkHgxDBqPQ YouTube]",,,,,Underground Hallow,400px,,,,,,"['http://re-logic.bandcamp.com/track/underground-hallow', 'https://www.youtube.com/watch?v=jHkHgxDBqPQ']",['Music-Underground Hallow.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[https://re-logic.bandcamp.com/track/underworld Bandcamp], [https://www.youtube.com/watch?v=jkcuG1cnkaM YouTube]",,,,,The Underworld,400px,,,,,,"['https://re-logic.bandcamp.com/track/underworld', 'https://www.youtube.com/watch?v=jkcuG1cnkaM']",['Music-Underworld.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/dungeon Bandcamp], [https://www.youtube.com/watch?v=WtN8STToIYE Youtube]",,,,,Dungeon,400px,,,,,,"['http://re-logic.bandcamp.com/track/dungeon', 'https://www.youtube.com/watch?v=WtN8STToIYE']",['Music-Dungeon.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/lihzahrd Bandcamp], [https://www.youtube.com/watch?v=FTtL9-edqMQ YouTube]",,,,,Jungle Temple,400px,,,,,,"['http://re-logic.bandcamp.com/track/lihzahrd', 'https://www.youtube.com/watch?v=FTtL9-edqMQ']",['Music-Lihzahrd.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/boss-1 Bandcamp], [https://www.youtube.com/watch?v=pBygBkCmE9o YouTube]",,,,,Eye of Cthulhu,400px,,,,,,"['http://re-logic.bandcamp.com/track/boss-1', 'https://www.youtube.com/watch?v=pBygBkCmE9o']",['Music-Boss 1.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/boss-2 Bandcamp], [https://www.youtube.com/watch?v=Dz3tP8IVhFY YouTube]",,,,,Wall of Flesh,400px,,,,,,"['http://re-logic.bandcamp.com/track/boss-2', 'https://www.youtube.com/watch?v=Dz3tP8IVhFY']",['Music-Boss 2.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/boss-3 Bandcamp], [https://www.youtube.com/watch?v=xW6nipLFOZA YouTube]",,,,,"Frost Legion, <br/>Brain of Cthulhu",400px,,,,,,"['http://re-logic.bandcamp.com/track/boss-3', 'https://www.youtube.com/watch?v=xW6nipLFOZA']",['Music-Boss 3.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/golem Bandcamp], [https://www.youtube.com/watch?v=bSKCl2Aql4o YouTube]",,,,,Golem,400px,,,,,,"['http://re-logic.bandcamp.com/track/golem', 'https://www.youtube.com/watch?v=bSKCl2Aql4o']",['Music-Golem.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=LRGAtNz_4j8 YouTube],,,,,Mechdusa,400px,,,,,,['https://www.youtube.com/watch?v=LRGAtNz_4j8'],['Music-Boss 5.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=hQjps-gNgVY YouTube],,,,,Deerclops,400px,,,,,,['https://www.youtube.com/watch?v=hQjps-gNgVY'],['Music-Deerclops.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=W2WYYZzt7WY YouTube],,,,,Queen Slime,400px,,,,,,['https://www.youtube.com/watch?v=W2WYYZzt7WY'],['Music-Queen Slime.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/plantera Bandcamp], [https://www.youtube.com/watch?v=sfoKu6BvWUs YouTube]",,,,,Plantera,400px,,,,,,"['http://re-logic.bandcamp.com/track/plantera', 'https://www.youtube.com/watch?v=sfoKu6BvWUs']",['Music-Plantera.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=_ObcCtgOcHU YouTube],,,,,Empress of Light,400px,,,,,,['https://www.youtube.com/watch?v=_ObcCtgOcHU'],['Music-Empress of Light.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=azdfcjv32oU YouTube],,,,,Duke Fishron,400px,,,,,,['https://www.youtube.com/watch?v=azdfcjv32oU'],['Music-Duke Fishron.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/eerie Bandcamp], [https://www.youtube.com/watch?v=UcZQAj9mlns YouTube]",,,,,"Meteorite, Blood Moon",400px,,,,,,"['http://re-logic.bandcamp.com/track/eerie', 'https://www.youtube.com/watch?v=UcZQAj9mlns']",['Music-Eerie.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/eclipse Bandcamp], [https://www.youtube.com/watch?v=nJ8tMY220t4 YouTube]",,,,,Solar Eclipse,400px,,,,,,"['http://re-logic.bandcamp.com/track/eclipse', 'https://www.youtube.com/watch?v=nJ8tMY220t4']",['Music-Eclipse.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[https://re-logic.bandcamp.com/track/goblin-army Bandcamp], [https://www.youtube.com/watch?v=sm3mhl37vW8 YouTube]",,,,,Goblin Army,400px,,,,,,"['https://re-logic.bandcamp.com/track/goblin-army', 'https://www.youtube.com/watch?v=sm3mhl37vW8']",['Music-Goblin Army.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[https://re-logic.bandcamp.com/track/pirate-invasion Bandcamp], [https://www.youtube.com/watch?v=Tu08cqHRvL8 YouTube]",,,,,Pirate Invasion,400px,,,,,,"['https://re-logic.bandcamp.com/track/pirate-invasion', 'https://www.youtube.com/watch?v=Tu08cqHRvL8']",['Music-Pirate Invasion.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[https://re-logic.bandcamp.com/track/martian-madness Bandcamp], [https://www.youtube.com/watch?v=DbY1Hj44R_Y YouTube]",,,,,Martian Madness,400px,,,,,,"['https://re-logic.bandcamp.com/track/martian-madness', 'https://www.youtube.com/watch?v=DbY1Hj44R_Y']",['Music-Martian Madness.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[https://re-logic.bandcamp.com/track/pumpkin-moon Bandcamp], [https://www.youtube.com/watch?v=N0E6PnaB8rk YouTube]",,,,,Pumpkin Moon,400px,,,,,,"['https://re-logic.bandcamp.com/track/pumpkin-moon', 'https://www.youtube.com/watch?v=N0E6PnaB8rk']",['Music-Pumpkin Moon.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[https://re-logic.bandcamp.com/track/frost-moon Bandcamp], [https://www.youtube.com/watch?v=HhF8uM2cBvA YouTube]",,,,,Frost Moon,400px,,,,,,"['https://re-logic.bandcamp.com/track/frost-moon', 'https://www.youtube.com/watch?v=HhF8uM2cBvA']",['Music-Frost Moon.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/lunar-boss Bandcamp], [https://www.youtube.com/watch?v=0AvdBo3BBkA YouTube]",,,,,Lunar Events,400px,,,,,,"['http://re-logic.bandcamp.com/track/lunar-boss', 'https://www.youtube.com/watch?v=0AvdBo3BBkA']",['Music-Lunar Boss.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[https://re-logic.bandcamp.com/track/moon-lord Bandcamp], [https://www.youtube.com/watch?v=7lcnjjeq8ig YouTube]",,,,,Moon Lord,400px,,,,,,"['https://re-logic.bandcamp.com/track/moon-lord', 'https://www.youtube.com/watch?v=7lcnjjeq8ig']",['Music-Moon Lord.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=izbvhGAzmzw YouTube],,,,,During a Sandstorm in a Desert,400px,,,,,,['https://www.youtube.com/watch?v=izbvhGAzmzw'],['Music-Sandstorm.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=JUS0F6pMmOA YouTube],,,,,Old One's Army,400px,,,,,,['https://www.youtube.com/watch?v=JUS0F6pMmOA'],"[""Music-Old One's Army.mp3""]",Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=N5R-HbJOa8M YouTube],,,,,Slime Rain,400px,,,,,,['https://www.youtube.com/watch?v=N5R-HbJOa8M'],['Music-Slime Rain.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=Q3rWh7qd7vk YouTube],,,,,During Day in a Town,400px,,,,,,['https://www.youtube.com/watch?v=Q3rWh7qd7vk'],['Music-Town Day.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=sNlHjsZNXJ4 YouTube],,,,,During Night in a Town,400px,,,,,,['https://www.youtube.com/watch?v=sNlHjsZNXJ4'],['Music-Town Night.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=PI93w1HByHI YouTube],,,,,Windy Day,400px,,,,,,['https://www.youtube.com/watch?v=PI93w1HByHI'],['Music-Windy Day.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=_QVc5ssWuz4 YouTube],,,,,Crafting,400px,,,,,,['https://www.youtube.com/watch?v=_QVc5ssWuz4'],['Music-Contest_Winner.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=vjWCxvve-jI YouTube],,,,,Crafting,400px,,,,,,['https://www.youtube.com/watch?v=vjWCxvve-jI'],"[""Music-Journey's Beginning.mp3""]",Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=DShUHIAY47w YouTube],,,,,Thunderstorm,400px,,,,,,['https://www.youtube.com/watch?v=DShUHIAY47w'],['Music-Storm.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=fy_9sPT0w8A YouTube],,,,,Graveyard,400px,,,,,,['https://www.youtube.com/watch?v=fy_9sPT0w8A'],['Music-Graveyard.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=YknY_BXr6LA YouTube],,,,,Underground Jungle,400px,,,,,,['https://www.youtube.com/watch?v=YknY_BXr6LA'],['Music-Underground_Jungle.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=JMUSOWm5ZCs YouTube],,,,,During Night in the Jungle,400px,,,,,,['https://www.youtube.com/watch?v=JMUSOWm5ZCs'],['Music-Surface_Night_Jungle.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=7fSz0y9Mcp4 YouTube],,,,,"During Rain, in a Forest, between  and",400px,,,,,,['https://www.youtube.com/watch?v=7fSz0y9Mcp4'],['Music-Morning_Rain.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=75yZXyeNMTo YouTube],,,,,Crafting,400px,,,,,,['https://www.youtube.com/watch?v=75yZXyeNMTo'],['Music-Title (Console).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=maI2tOIyW2E YouTube],,,,,Underground Desert,400px,,,,,,['https://www.youtube.com/watch?v=maI2tOIyW2E'],['Music-Underground Desert.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=hhxG9SDTN9o YouTube],,,,,"During Rain in the Forest<ref name=""OtherworldToggle"" />",400px,,,,,,['https://www.youtube.com/watch?v=hhxG9SDTN9o'],['Music-Rain (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=pkpTNUI7Wjk YouTube],,,,,"During Day in the Forest<ref name=""OtherworldToggle"" />",400px,,,,,,['https://www.youtube.com/watch?v=pkpTNUI7Wjk'],['Music-Forest Day (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=gUsf7d8IrPQ YouTube],,,,,"During Night on Surface in the Forest and Hallow<ref name=""OtherworldToggle"" />",400px,,,,,,['https://www.youtube.com/watch?v=gUsf7d8IrPQ'],['Music-Forest Night (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=WJCSVKxJgOE YouTube],,,,,"Underground, Caverns<ref name=""OtherworldToggle"" />",400px,,,,,,['https://www.youtube.com/watch?v=WJCSVKxJgOE'],['Music-Main_Theme_(Underground)_(Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=6Jbm5xBIQLk YouTube],,,,,"Desert, Underground Desert<ref name=""OtherworldToggle"" />",400px,,,,,,['https://www.youtube.com/watch?v=6Jbm5xBIQLk'],['Music-Desert (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,400px,,,,,"Ocean<ref name=""OtherworldToggle"" />",,,,,,,,['Music-Ocean (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=1zlmgZd2r20 YouTube],,,,,"Glowing Mushroom biome<ref name=""OtherworldToggle"" />",400px,,,,,,['https://www.youtube.com/watch?v=1zlmgZd2r20'],['Music-Crystal Caves (Mushrooms) (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=GPOy7_LJu0E YouTube],,,,,"Dungeon, Temple<ref name=""OtherworldToggle"" />",400px,,,,,,['https://www.youtube.com/watch?v=GPOy7_LJu0E'],['Music-Dungeon (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=lz1qadp-78Y YouTube],,,,,"Space<ref name=""OtherworldToggle"" />",400px,,,,,,['https://www.youtube.com/watch?v=lz1qadp-78Y'],['Music-Space (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,400px,,,,,"The Underworld<ref name=""OtherworldToggle"" />",,,,,,,,['Music-Underworld (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,400px,,,,,"Snow biome, The Aether<ref name=""OtherworldToggle"" />",,,,,,,,['Music-Arctic (Snow) (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=j_JZiGst59w YouTube],,,,,"Corruption<ref name=""OtherworldToggle"" />",400px,,,,,,['https://www.youtube.com/watch?v=j_JZiGst59w'],['Music-Corruption (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,400px,,,,,"Underground Corruption<ref name=""OtherworldToggle"" />",,,,,,,,['Music-Underground Corruption (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,400px,,,,,"Crimson<ref name=""OtherworldToggle"" />",,,,,,,,['Music-Crimson (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,400px,,,,,"Underground Crimson<ref name=""OtherworldToggle"" />",,,,,,,,['Music-Underground Crimson (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,400px,,,,,"Ice biome<ref name=""OtherworldToggle"" />",,,,,,,,['Music-Ice (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,400px,,,,,"Underground Hallow<ref name=""OtherworldToggle"" />",,,,,,,,['Music-Underground Hallow (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,400px,,,,,"Meteorite, Blood Moon, Solar Eclipse, Graveyard<ref name=""OtherworldToggle"" />",,,,,,,,['Music-Eerie (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,400px,,,,,"Duke Fishron, Empress of Light, Golem, Lunatic Cultist, Queen Slime, Skeletron Prime, The Destroyer, The Twins<ref name=""OtherworldToggle"" />",,,,,,,,['Music-Boss 2 (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,400px,,,,,"Brain of Cthulhu, Eater of Worlds, Eye of Cthulhu, King Slime, Queen Bee, Skeletron<ref name=""OtherworldToggle"" />",,,,,,,,['Music-Boss 1 (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,400px,,,,,"Goblin Army, Old One's Army, Frost Legion, Pirate Invasion, Pumpkin Moon, Frost Moon, Martian Madness<ref name=""OtherworldToggle"" />",,,,,,,,['Music-Invasion (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,400px,,,,,"Lunar Events<ref name=""OtherworldToggle"" />",,,,,,,,['Music-The Towers (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,400px,,,,,"Moon Lord<ref name=""OtherworldToggle"" />",,,,,,,,['Music-Lunar Boss (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,400px,,,,,"Plantera<ref name=""OtherworldToggle"" />",,,,,,,,['Music-Plantera (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,400px,,,,,"Jungle, Underground Jungle<ref name=""OtherworldToggle"" />",,,,,,,,['Music-Jungle (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,400px,,,,,"Wall of Flesh<ref name=""OtherworldToggle"" />",,,,,,,,['Music-Wall of Flesh (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,400px,,,,,"During Day in The Hallow<ref name=""OtherworldToggle"" />",,,,,,,,['Music-Hallow (Otherworldly).mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=COC_ZANdmGQ YouTube],,,,,"Purchased from the Princess for  / Credits, after defeating Moon Lord",400px,,,,,,['https://www.youtube.com/watch?v=COC_ZANdmGQ'],"[""Music-Journey's End.mp3""]",Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=dUYtd9a_abc YouTube],,,,,Aether,400px,,,,,,['https://www.youtube.com/watch?v=dUYtd9a_abc'],['Music-Aether.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,"[http://re-logic.bandcamp.com/track/title-screen Bandcamp], [https://www.youtube.com/watch?v=EXQ5D0v4rmw YouTube]",,,,,Crafting,400px,,,,,,"['http://re-logic.bandcamp.com/track/title-screen', 'https://www.youtube.com/watch?v=EXQ5D0v4rmw']",['Music-Title Screen.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=WKaSnuELrPE YouTube],,,,,Queen Bee,400px,,,,,,['https://www.youtube.com/watch?v=WKaSnuELrPE'],['Music-Queen Bee.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=goVk4dQe3RQ YouTube],,,,,The Twins,400px,,,,,,['https://www.youtube.com/watch?v=goVk4dQe3RQ'],['Music-The Twins.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=iTesiLCcnbo YouTube],,,,,King Slime,400px,,,,,,['https://www.youtube.com/watch?v=iTesiLCcnbo'],['Music-King Slime.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=JnzkO2u37wU YouTube],,,,,Obtained by throwing Music Box (Queen Bee) into Shimmer,400px,,,,,,['https://www.youtube.com/watch?v=JnzkO2u37wU'],['Music-Alternate Queen Bee.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=V_s-k-dVGBs YouTube],,,,,Lunatic Cultist,400px,,,,,,['https://www.youtube.com/watch?v=V_s-k-dVGBs'],['Music-Lunatic Cultist.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=D0ITvP7gfHk YouTube],,,,,Skeletron Prime,400px,,,,,,['https://www.youtube.com/watch?v=D0ITvP7gfHk'],['Music-Skeletron Prime.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=YuLh4Bp3I6M YouTube],,,,,The Destroyer,400px,,,,,,['https://www.youtube.com/watch?v=YuLh4Bp3I6M'],['Music-The Destroyer.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
,[https://www.youtube.com/watch?v=_pgExSdc7MI YouTube],,,,,Eater of Worlds,400px,,,,,,['https://www.youtube.com/watch?v=_pgExSdc7MI'],['Music-Eater of Worlds.mp3'],Music Boxes,https://terraria.wiki.gg/api.php,unclassified,Terraria
